127.0.0.1 - - [29/Jan/2024:12:06:35 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:17 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=0&type=student HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:18 +0200] "GET /ProjectLibary/HomePage.jsp?mainPage=Go+to+Main+Page... HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:20 +0200] "GET /ProjectLibary/LoginWorker.jsp? HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:22 +0200] "GET /ProjectLibary/registration/controller/LibraryWorkerServlet?userName=a&password=a HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:26 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:31 +0200] "POST /ProjectLibary/registration/controller/BooksServlet HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:33 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:39 +0200] "POST /ProjectLibary/registration/controller/BooksServlet HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:40 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:45 +0200] "POST /ProjectLibary/registration/controller/BooksServlet HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:56 +0200] "GET /ProjectLibary/LoginStudent.jsp? HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:58 +0200] "GET /ProjectLibary/registration/controller/StudentServlet?userName=a&password=a&type=student HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:08:04 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:08:09 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:08:11 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:08:15 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:08:29 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:08:33 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:08:34 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:08:35 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:08:56 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:18 +0200] "POST /ProjectLibary HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:18 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:20 +0200] "GET /ProjectLibary/LoginTeacher.jsp? HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:22 +0200] "GET /ProjectLibary/registration/controller/TeacherServlet?userName=a&password=a&type=teacher HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:32 +0200] "POST /ProjectLibary HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:32 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:34 +0200] "GET /ProjectLibary/LoginStudent.jsp? HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:36 +0200] "GET /ProjectLibary/registration/controller/StudentServlet?userName=a&password=a&type=student HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:39 +0200] "POST /ProjectLibary HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:39 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:41 +0200] "GET /ProjectLibary/LoginTeacher.jsp? HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:45 +0200] "GET /ProjectLibary/registration/controller/TeacherServlet?userName=u&password=u&type=teacher HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:50 +0200] "GET /ProjectLibary/LoginWorker.jsp? HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:53 +0200] "GET /ProjectLibary/registration/controller/LibraryWorkerServlet?userName=a&password=a HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:09:55 +0200] "POST /ProjectLibary/Registration.jsp HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:15:32 +0200] "POST /ProjectLibary/Registration.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:15:39 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 3630
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:00 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:00 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:04 +0200] "GET /ProjectLibary/LoginStudent.jsp? HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:06 +0200] "GET /ProjectLibary/registration/controller/StudentServlet?userName=a&password=a&type=student HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:10 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:11 +0200] "GET /ProjectLibary/HomePage.jsp?mainPage=Go+to+Main+Page... HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:13 +0200] "GET /ProjectLibary/LoginTeacher.jsp? HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:14 +0200] "GET /ProjectLibary/registration/controller/TeacherServlet?userName=a&password=a&type=teacher HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:17 +0200] "POST /ProjectLibary HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:17 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:19 +0200] "GET /ProjectLibary/LoginWorker.jsp? HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:16:24 +0200] "GET /ProjectLibary/registration/controller/LibraryWorkerServlet?userName=a&password=a HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:19:29 +0200] "GET /ProjectLibary/registration/controller/BooksServlet? HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:19:35 +0200] "POST /ProjectLibary/Registration.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:19:43 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 500 2972
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:19:47 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 3857
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:20:17 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 500 2972
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:20:23 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:20:28 +0200] "GET /ProjectLibary/libraryWorker.jsp?mainPage=Go+to+Main+Student+Page... HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:20:45 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 500 2972
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:20:49 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 4311
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:21:50 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 500 2972
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:21:54 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:25:42 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 500 2982
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:25:46 +0200] "POST /ProjectLibary/Registration.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:25:53 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:26:09 +0200] "GET /ProjectLibary/registration/controller/BooksServlet? HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:26:31 +0200] "GET /ProjectLibary/registration/controller/BooksServlet? HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:26:35 +0200] "GET /ProjectLibary/registration/controller/ShowAllExistStudents? HTTP/1.1" 200 12071
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:26:37 +0200] "GET /ProjectLibary/registration/controller/BooksServlet? HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:26:40 +0200] "POST /ProjectLibary/Registration.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:26:42 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:29:41 +0200] "GET /ProjectLibary/LoginStudent.jsp? HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:29:45 +0200] "GET /ProjectLibary/LoginStudent.jsp? HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:29:46 +0200] "GET /ProjectLibary/registration/controller/StudentServlet?userName=a&password=a&type=student HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:29:48 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:29:49 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:29:56 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:30:43 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:30:45 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:30:46 +0200] "GET /ProjectLibary/HomePage.jsp?mainPage=Go+to+Main+Page... HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:02 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:04 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 1374
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:09 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:09 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:11 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:12 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:13 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:14 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:15 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:16 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:17 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:18 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:19 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:20 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:21 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:24 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:27 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:29 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:32 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:32 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:33 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:35 +0200] "POST /ProjectLibary/registration/controller/BorrowServlet HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:31:39 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:36:49 +0200] "GET /ProjectLibary/HomePage.jsp?mainPage=Go+to+Main+Page... HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:36:54 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 2624
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:36:56 +0200] "GET /ProjectLibary/HomePage.jsp?mainPage=Go+to+Main+Page... HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:36:57 +0200] "GET /ProjectLibary/LoginWorker.jsp? HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:36:59 +0200] "GET /ProjectLibary/registration/controller/LibraryWorkerServlet?userName=a&password=a HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:37:00 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:37:04 +0200] "GET /ProjectLibary/registration/controller/BooksServlet? HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:37:07 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:37:36 +0200] "POST /ProjectLibary/registration/controller/BooksServlet HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:37:41 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:37:48 +0200] "GET /ProjectLibary/registration/controller/BooksServlet? HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:38:14 +0200] "POST /ProjectLibary/registration/controller/DeleteBookServlet HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:38:14 +0200] "POST /ProjectLibary/registration/controller/DeleteBookServlet HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:38:15 +0200] "POST /ProjectLibary/registration/controller/DeleteBookServlet HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:38:22 +0200] "GET /ProjectLibary/libraryWorker.jsp?mainPage=Go+to+Main+Student+Page... HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:38:24 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:38:43 +0200] "POST /ProjectLibary/registration/controller/BooksServlet HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:38:46 +0200] "GET /ProjectLibary/registration/controller/BooksServlet? HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:38:50 +0200] "POST /ProjectLibary/Registration.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:38:54 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:41:02 +0200] "POST /ProjectLibary/registration/controller/BooksServlet HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:41:04 +0200] "GET /ProjectLibary/registration/controller/BooksServlet? HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:41:09 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:41:21 +0200] "POST /ProjectLibary/registration/controller/BooksServlet HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:41:22 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:41:38 +0200] "POST /ProjectLibary/registration/controller/BooksServlet HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:41:40 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:01 +0200] "GET /ProjectLibary/registration/controller/ShowAllExistStudents? HTTP/1.1" 200 12071
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:05 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 11756
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:07 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 11440
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:08 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:08 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 10805
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:09 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 10491
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:09 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 10177
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:10 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 9863
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:10 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 9549
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:11 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 9235
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:11 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 8921
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:11 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 8607
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:12 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 8287
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:12 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 7953
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:13 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 7641
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:13 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 7325
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:14 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 7010
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:14 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 6692
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:15 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 6380
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:15 +0200] "POST /ProjectLibary/registration/controller/DeleteStudentServlet HTTP/1.1" 200 6068
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:21 +0200] "GET /ProjectLibary/libraryWorker.jsp?mainPage=Go+to+Main+Student+Page... HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:42:23 +0200] "POST /ProjectLibary/Registration.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:43:17 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:43:23 +0200] "GET /ProjectLibary/libraryWorker.jsp?mainPage=Go+to+Main+Student+Page... HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:43:25 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:43:27 +0200] "POST /ProjectLibary/Registration.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:43:55 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 500 2982
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:44:05 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:44:24 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 500 2982
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:44:32 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:44:53 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 500 2982
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:45:04 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 3462
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:45:20 +0200] "GET /ProjectLibary/ShowAllExistStudents? HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:45:22 +0200] "GET /ProjectLibary/ShowAllExistStudents? HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:45:27 +0200] "POST /ProjectLibary/AddBook.jsp HTTP/1.1" 200 842
